# Optolong L-Quad Enhance: a quad-band light-pollution filter.
#
# PROVENANCE: digitised from the vendor chart "Lqef chart.jpeg" (optolong.com, product document
# 196), extracted mechanically by tools/digitize-filter-curve/digitize_filter_curve.py in
# --dark-chart mode. Run it with --overlay to redraw this curve onto the chart and check it by eye.
#
# THE WAVELENGTH AXIS IS ANCHORED ON THE TICK LABELS, not on the plot box, and that distinction
# matters here: the outermost labels read 300 and 900 while the box actually spans 301.0-947.5 nm,
# so an edge-to-edge assumption would have been ~47 nm out at the red end. Five label positions fit
# a line to 2.3202 px/nm with a worst residual of 0.55 nm.
#
# VALIDATION (independent -- none of these wavelengths went into building the curve or calibrating
# either axis). The chart annotates nine lines, and they INTERLEAVE pass with block, which is what
# makes them a real axis test rather than a spot check:
#   PASSED   Hb   486.1 -> 95.8 %     BLOCKED  Hg  435.8 -> 0.5 %
#            OIII 500.7 -> 97.8 %              Hg  546.1 -> 1.0 %
#            Ha   656.3 -> 94.0 %              Na  589.0 -> 0.5 %
#            SII  671.6 -> 96.1 %              Na  589.6 -> 0.5 %
#                                              Na  615.4 -> 0.5 %
# Peak 99.1 %, floor 0.00 %. A shifted axis cannot satisfy both halves.
#
# THREE THINGS ON THIS CHART ARE NOT DATA and each one produced a plausible wrong curve before it
# was excluded. Its gridlines are DASHED WHITE, the same colour as the trace, so the solid axis-max
# line won the per-column contest wherever the filter blocks and every notch read exactly 100.0 %.
# The plot BORDER is a white row that the value-grid fit rejects, being a pixel above the 100 %
# line, so it drew a solid 100 % line across the whole output. And the "Optolong" watermark sits
# inside the plot area, is neutral, and is bright enough to pass a white-ink test -- it scattered
# samples across 30-80 % in every blocked region.
#
# THE EMISSION-LINE MARKERS ARE DRAWN OVER THE CURVE, so those 22 columns are occluded and are
# dropped rather than sampled -- they sit at exactly the wavelengths worth validating, and sampled
# they read as a notch that is not there. Gaps are interpolated, which is what the database does at
# query time anyway; every gap over 2 nm lies in a flat blocked region reading 0-0.5 % on both
# sides, so none of them crosses a transition.
#
# UNITS HERE ARE CHART UNITS: nanometres and percent, so a human can check a row against the
# chart. The importer converts to the database's Angstrom + fraction on the way in.
wavelength_nm,transmission_pct
301,38.86
304,0.00
362,0.49
363,0.49
364,0.49
365,0.49
369,0.49
370,0.49
373,0.49
374,0.57
375,0.57
376,0.57
377,0.69
378,1.10
379,1.98
380,2.60
381,3.21
382,8.02
383,20.08
384,39.96
385,62.66
386,72.15
387,75.28
388,78.16
389,81.99
390,85.16
391,87.97
392,88.41
393,88.21
394,88.43
395,89.84
396,90.93
397,91.91
398,92.20
399,92.56
400,93.25
401,93.77
402,93.13
403,92.72
404,93.06
405,93.70
406,93.70
407,93.82
408,94.55
409,94.92
410,94.23
411,93.66
412,93.58
413,93.55
414,93.37
415,93.41
416,92.82
417,89.88
418,85.08
419,73.98
420,49.96
421,30.00
422,10.73
423,3.20
424,1.22
425,0.69
426,0.51
427,0.49
428,0.49
429,0.00
430,0.00
433,0.49
434,0.49
435,0.49
436,0.49
437,0.53
438,0.68
439,1.10
440,1.91
441,4.55
442,11.71
443,29.63
444,58.32
445,85.69
446,92.85
447,93.54
448,93.52
449,94.80
450,95.85
451,96.34
452,95.89
453,94.72
454,92.98
455,91.46
456,91.02
457,91.57
458,93.46
459,94.96
460,96.50
461,97.03
462,96.79
463,96.21
464,95.73
465,95.81
466,96.23
467,96.67
468,96.91
469,97.26
470,97.60
471,97.64
472,97.64
473,97.72
474,97.89
475,98.09
476,98.32
477,98.50
478,98.54
479,98.35
480,97.93
481,97.28
482,96.50
483,95.85
484,95.69
485,95.75
487,95.85
488,95.58
489,95.16
490,94.96
491,95.04
492,95.45
493,96.14
494,97.07
495,97.89
496,98.37
497,0.00
499,0.00
500,98.05
501,97.70
502,97.11
503,96.30
504,95.07
505,94.27
506,94.27
507,94.72
508,95.00
509,94.80
510,94.66
511,94.67
512,94.92
513,95.47
514,96.50
515,97.44
516,98.24
517,98.78
518,99.07
519,99.11
520,99.07
521,98.74
522,98.13
523,97.24
524,96.22
525,95.49
526,94.39
527,93.58
528,92.76
529,90.19
530,80.57
531,54.96
532,37.40
533,21.46
534,14.92
535,9.24
536,5.61
537,4.07
538,2.90
539,2.03
540,1.71
541,1.38
542,1.22
543,1.10
544,1.00
547,1.06
548,1.10
549,1.22
550,1.34
551,1.65
552,2.15
